postcode,ap_monitor,buffer_km,area_overlap,percent_overlap
2176,Liverpool,5,347005.105335336,1.74852964799628
2177,Liverpool,5,2665137.10350158,51.2979323232509
2178,Bringelly,5,13831209.9089842,25.460641377169
2178,St Marys,5,3847970.8332094,7.0833864903252
2179,Bringelly,5,10144323.201586,27.8120602070696
2190,Lidcombe,5,9739343.39398998,100
2191,Lidcombe,5,1497895.00838137,84.0226438369836
2191,Earlwood,5,1073001.39031588,60.1887402993101
2192,Lidcombe,5,471560.401554467,17.2687429347361
2192,Earlwood,5,2480852.97950855,90.8498937162325
2193,Earlwood,5,4195623.40515442,100
2194,Lidcombe,5,21708.4409596473,0.643448311847706
2194,Earlwood,5,3373766.09122029,100
2195,Lidcombe,5,1626705.9908058,45.8363039466686
2195,Earlwood,5,202810.187088886,5.71465859929737
2196,Lidcombe,5,1460495.46503414,20.6687550616667
2196,Earlwood,5,355948.010454925,5.03733316461098
2197,Lidcombe,5,1296933.07622236,44.2923756102296
2199,Lidcombe,5,4341390.66447212,94.0237457565629
2200,Lidcombe,5,4603165.7880637,32.6285371177334
2203,Earlwood,5,2092829.46929515,100
2203,Alexandria,5,401448.380244247,19.1820875104292
2203,Rozelle,5,1086329.47317051,51.9072140902324
2204,Earlwood,5,5790150.07433175,100
2204,Alexandria,5,5015894.37086091,86.6280546526214
2204,Rozelle,5,2128634.38278179,36.7630260952686
2205,Earlwood,5,4223401.88111714,100
2205,Alexandria,5,418593.084664943,9.91127760151067
2206,Earlwood,5,5979129.19859619,100
2206,Alexandria,5,301923.750019449,5.04962746231233
2207,Earlwood,5,6411475.32775441,88.7478266977038
2208,Earlwood,5,3819389.29252811,85.6564227336993
2209,Earlwood,5,5310.34122283664,0.12493593138288
2216,Earlwood,5,4640890.73032493,83.1847420655292
2217,Earlwood,5,323472.655029225,5.16603304741841
2220,Earlwood,5,29357.2426834074,0.567302459887556
2284,Wallsend,5,2939.72799308039,0.012111159259923
2285,Wallsend,5,11105530.8004165,34.2114132717017
2287,Wallsend,5,33231264.6790208,87.2841827763181
2287,Mayfield,5,2647988.70284886,6.9551228989187
2289,Newcastle,5,5108208.02278579,44.6797042206882
2289,Carrington,5,1879792.17521472,16.4418829480547
2289,Wallsend,5,26282.3929446209,0.229882874334699
2289,Mayfield,5,95570.0525150699,0.835917734689331
2290,Newcastle,5,1463680.57140635,4.02084180149116
2291,Newcastle,5,7192605.596545,100
2291,Carrington,5,4415731.5637116,61.3926553380421
2291,Stockton,5,857336.108628302,11.9196874779305
2292,Newcastle,5,2893786.72166026,100
2292,Carrington,5,2893786.72166026,100
2292,Stockton,5,1101526.55896229,38.0652295733223
2292,Mayfield,5,2370630.0179,81.9213800435124
2293,Newcastle,5,1322719.13732945,100
2293,Carrington,5,1322719.13732945,100
2293,Stockton,5,1322719.13732945,100
2293,Mayfield,5,1189575.89256558,89.9341257711987
2294,Newcastle,5,2039320.33029541,100
2294,Carrington,5,2039320.33029541,100
2294,Stockton,5,2039320.33029541,100
2294,Mayfield,5,1468737.03017423,72.0209085524822
2295,Newcastle,5,2035742.47979092,17.0387753011922
